session_id,outcome,color
12083067,12,CT
12083068,6,T
12083069,5,T
12083070,0,Bonus
12083071,13,CT
12083072,8,CT
12083073,5,T
12083074,12,CT
12083075,12,CT
12083076,9,CT
12083077,8,CT
12083078,13,CT
12083079,14,CT
12083080,2,T
12083081,10,CT
12083082,4,T
12083083,6,T
12083084,5,T
12083085,2,T
12083086,3,T
12083087,3,T
12083088,8,CT
12083089,9,CT
12083090,1,T
12083091,2,T
12083092,14,CT
12083093,0,Bonus
12083094,9,CT
12083095,3,T
12083096,2,T
12083097,8,CT
12083098,5,T
12083099,4,T
12083100,12,CT
12083101,4,T
12083102,8,CT
12083103,13,CT
12083104,8,CT
12083105,0,Bonus
12083106,1,T
12083107,6,T
12083108,7,T
12083109,7,T
12083110,9,CT
12083111,5,T
12083112,10,CT
12083113,12,CT
12083114,0,Bonus
12083115,4,T
12083116,8,CT
12083117,12,CT
12083118,1,T
12083119,1,T
12083120,7,T
12083121,7,T
12083122,14,CT
12083123,10,CT
12083124,11,CT
12083125,8,CT
12083126,12,CT
12083127,8,CT
12083128,7,T
12083129,12,CT
12083130,2,T
12083131,10,CT
12083132,6,T
12083133,14,CT
12083134,0,Bonus
12083135,8,CT
12083136,8,CT
12083137,11,CT
12083138,7,T
12083139,11,CT
12083140,12,CT
12083141,11,CT
12083142,0,Bonus
12083143,9,CT
12083144,0,Bonus
12083145,9,CT
12083146,10,CT
12083147,1,T
12083148,14,CT
12083149,3,T
12083150,13,CT
12083151,9,CT
12083152,10,CT
12083153,10,CT
12083154,13,CT
12083155,8,CT
12083156,1,T
12083157,10,CT
12083158,12,CT
12083159,9,CT
12083160,1,T
12083161,1,T
12083162,8,CT
12083163,2,T
12083164,12,CT
12083165,14,CT
12083166,14,CT
12083167,4,T
12083168,0,Bonus
12083169,7,T
12083170,6,T
12083171,5,T
12083172,2,T
12083173,10,CT
12083174,13,CT
12083175,11,CT
12083176,12,CT
12083177,6,T
12083178,6,T
12083179,9,CT
12083180,13,CT
12083181,12,CT
12083182,0,Bonus
12083183,2,T
12083184,12,CT
12083185,1,T
12083186,11,CT
12083187,9,CT
12083188,8,CT
12083189,13,CT
12083190,5,T
12083191,8,CT
12083192,1,T
12083193,10,CT
12083194,5,T
12083195,8,CT
12083196,12,CT
12083197,9,CT
12083198,0,Bonus
12083199,3,T
12083200,1,T
12083201,6,T
12083202,14,CT
12083203,10,CT
12083204,2,T
12083205,12,CT
12083206,4,T
12083207,13,CT
12083208,14,CT
12083209,2,T
12083210,7,T
12083211,4,T
12083212,11,CT
12083213,4,T
12083214,11,CT
12083215,13,CT
12083216,13,CT
12083217,2,T
12083218,14,CT
12083219,10,CT
12083220,13,CT
12083221,8,CT
12083222,3,T
12083223,13,CT
12083224,8,CT
12083225,13,CT
12083226,8,CT
12083227,1,T
12083228,0,Bonus
12083229,2,T
12083230,9,CT
12083231,0,Bonus
12083232,14,CT
12083233,14,CT
12083234,14,CT
12083235,5,T
12083236,7,T
12083237,5,T
12083238,5,T
12083239,3,T
12083240,1,T
12083241,0,Bonus
12083242,9,CT
12083243,8,CT
12083244,1,T
12083245,8,CT
12083246,9,CT
12083247,4,T
12083248,6,T
12083249,7,T
12083250,6,T
12083251,7,T
12083252,9,CT
12083253,4,T
12083254,8,CT
12083255,10,CT
12083256,14,CT
12083257,12,CT
12083258,3,T
12083259,6,T
12083260,6,T
12083261,9,CT
12083262,4,T
12083263,0,Bonus
12083264,14,CT
12083265,10,CT
12083266,8,CT
12083267,11,CT
12083268,2,T
12083269,4,T
12083270,11,CT
12083271,10,CT
12083272,10,CT
12083273,3,T
12083274,4,T
12083275,5,T
12083276,10,CT
12083277,2,T
12083278,13,CT
12083279,11,CT
12083280,9,CT
12083281,4,T
12083282,9,CT
12083283,4,T
12083284,11,CT
12083285,7,T
12083286,5,T
12083287,5,T
12083288,10,CT
12083289,9,CT
12083290,9,CT
12083291,0,Bonus
12083292,7,T
12083293,7,T
12083294,10,CT
12083295,3,T
12083296,3,T
12083297,3,T
12083298,9,CT
12083299,13,CT
12083300,1,T
12083301,0,Bonus
12083302,12,CT
12083303,7,T
12083304,6,T
12083305,10,CT
12083306,7,T
12083307,1,T
12083308,0,Bonus
12083309,8,CT
12083310,1,T
12083311,11,CT
12083312,9,CT
12083313,0,Bonus
12083314,8,CT
12083315,5,T
12083316,5,T
12083317,1,T
12083318,9,CT
12083319,0,Bonus
12083320,7,T
12083321,9,CT
12083322,11,CT
12083323,13,CT
12083324,8,CT
12083325,10,CT
12083326,7,T
12083327,13,CT
12083328,8,CT
12083329,6,T
12083330,5,T
12083331,12,CT
12083332,0,Bonus
12083333,3,T
12083334,0,Bonus
12083335,1,T
12083336,9,CT
12083337,0,Bonus
12083338,10,CT
12083339,3,T
12083340,10,CT
12083341,6,T
12083342,13,CT
12083343,12,CT
12083344,6,T
12083345,3,T
12083346,13,CT
12083347,4,T
12083348,14,CT
12083349,8,CT
12083350,1,T
12083351,2,T
12083352,13,CT
12083353,9,CT
12083354,6,T
12083355,12,CT
12083356,9,CT
12083357,10,CT
12083358,11,CT
12083359,6,T
12083360,13,CT
12083361,14,CT
12083362,1,T
12083363,9,CT
12083364,5,T
12083365,11,CT
12083366,9,CT
12083367,13,CT
12083368,7,T
12083369,12,CT
12083370,0,Bonus
12083371,3,T
12083372,13,CT
12083373,5,T
12083374,0,Bonus
12083375,3,T
12083376,9,CT
12083377,1,T
12083378,3,T
12083379,2,T
12083380,4,T
12083381,3,T
12083382,3,T
12083383,6,T
12083384,11,CT
12083385,5,T
12083386,2,T
12083387,1,T
12083388,4,T
12083389,14,CT
12083390,7,T
12083391,11,CT
12083392,9,CT
12083393,3,T
12083394,5,T
12083395,13,CT
12083396,5,T
12083397,2,T
12083398,6,T
12083399,2,T
12083400,9,CT
12083401,9,CT
12083402,10,CT
12083403,10,CT
12083404,0,Bonus
12083405,10,CT
12083406,0,Bonus
12083407,5,T
12083408,10,CT
12083409,14,CT
12083410,1,T
12083411,12,CT
12083412,7,T
12083413,1,T
12083414,11,CT
12083415,4,T
12083416,10,CT
12083417,1,T
12083418,1,T
12083419,9,CT
12083420,13,CT
12083421,14,CT
12083422,7,T
12083423,1,T
12083424,2,T
12083425,12,CT
12083426,12,CT
12083427,4,T
12083428,2,T
12083429,8,CT
12083430,13,CT
12083431,1,T
12083432,9,CT
12083433,7,T
12083434,9,CT
12083435,4,T
12083436,2,T
12083437,10,CT
12083438,3,T
12083439,2,T
12083440,3,T
12083441,0,Bonus
12083442,13,CT
12083443,0,Bonus
12083444,7,T
12083445,13,CT
12083446,9,CT
12083447,5,T
12083448,12,CT
12083449,13,CT
12083450,11,CT
12083451,7,T
12083452,2,T
12083453,11,CT
12083454,11,CT
12083455,13,CT
12083456,8,CT
12083457,0,Bonus
12083458,7,T
12083459,12,CT
12083460,7,T
12083461,8,CT
12083462,6,T
12083463,12,CT
12083464,9,CT
12083465,1,T
12083466,12,CT
12083467,2,T
12083468,0,Bonus
12083469,5,T
12083470,14,CT
12083471,0,Bonus
12083472,4,T
12083473,6,T
12083474,3,T
12083475,6,T
12083476,5,T
12083477,3,T
12083478,1,T
12083479,4,T
12083480,3,T
12083481,11,CT
12083482,9,CT
12083483,14,CT
12083484,4,T
12083485,8,CT
12083486,6,T
12083487,3,T
12083488,1,T
12083489,12,CT
12083490,11,CT
12083491,4,T
12083492,7,T
12083493,13,CT
12083494,9,CT
12083495,9,CT
12083496,6,T
12083497,10,CT
12083498,14,CT
12083499,0,Bonus
12083500,2,T
12083501,13,CT
12083502,5,T
12083503,2,T
12083504,7,T
12083505,2,T
12083506,3,T
12083507,9,CT
12083508,4,T
12083509,3,T
12083510,14,CT
12083511,10,CT
12083512,10,CT
12083513,5,T
12083514,8,CT
12083515,7,T
12083516,5,T
12083517,1,T
12083518,13,CT
12083519,14,CT
12083520,10,CT
12083521,11,CT
12083522,5,T
12083523,13,CT
12083524,5,T
12083525,7,T
12083526,14,CT
12083527,2,T
12083528,6,T
12083529,5,T
12083530,13,CT
12083531,14,CT
12083532,8,CT
12083533,10,CT
12083534,4,T
12083535,14,CT
12083536,11,CT
12083537,0,Bonus
12083538,11,CT
12083539,0,Bonus
12083540,8,CT
12083541,5,T
12083542,7,T
12083543,6,T
12083544,3,T
12083545,5,T
12083546,4,T
12083547,8,CT
12083548,1,T
12083549,0,Bonus
12083550,13,CT
12083551,5,T
12083552,13,CT
12083553,5,T
12083554,4,T
12083555,6,T
12083556,14,CT
12083557,2,T
12083558,1,T
12083559,5,T
12083560,9,CT
12083561,9,CT
12083562,8,CT
12083563,0,Bonus
12083564,0,Bonus
12083565,1,T
12083566,13,CT
12083567,6,T
12083568,3,T
12083569,2,T
12083570,10,CT
12083571,9,CT
12083572,7,T
12083573,4,T
12083574,1,T
12083575,9,CT
12083576,7,T
12083577,8,CT
12083578,14,CT
12083579,0,Bonus
12083580,2,T
12083581,6,T
12083582,7,T
12083583,1,T
12083584,14,CT
12083585,2,T
12083586,9,CT
12083587,8,CT
12083588,5,T
12083589,14,CT
12083590,6,T
12083591,2,T
12083592,1,T
12083593,12,CT
12083594,3,T
12083595,10,CT
12083596,5,T
12083597,4,T
12083598,2,T
12083599,12,CT
12083600,5,T
12083601,13,CT
12083602,3,T
12083603,10,CT
12083604,11,CT
12083605,14,CT
12083606,13,CT
12083607,1,T
12083608,6,T
12083609,5,T
12083610,12,CT
12083611,1,T
12083612,10,CT
12083613,1,T
12083614,5,T
12083615,7,T
12083616,3,T
12083617,4,T
12083618,9,CT
12083619,11,CT
12083620,3,T
12083621,13,CT
12083622,10,CT
12083623,13,CT
12083624,8,CT
