session_id,outcome,color
12147598,12,CT
12147599,0,Bonus
12147600,2,T
12147601,0,Bonus
12147602,10,CT
12147603,10,CT
12147604,3,T
12147605,4,T
12147606,10,CT
12147607,11,CT
12147608,5,T
12147609,11,CT
12147610,6,T
12147611,8,CT
12147612,9,CT
12147613,12,CT
12147614,1,T
12147615,9,CT
12147616,5,T
12147617,6,T
12147618,0,Bonus
12147619,3,T
12147620,1,T
12147621,5,T
12147622,2,T
12147623,4,T
12147624,0,Bonus
12147625,0,Bonus
12147626,9,CT
12147627,4,T
12147628,14,CT
12147629,9,CT
12147630,10,CT
12147631,5,T
12147632,14,CT
12147633,13,CT
12147634,6,T
12147635,7,T
12147636,12,CT
12147637,8,CT
12147638,6,T
12147639,9,CT
12147640,14,CT
12147641,9,CT
12147642,11,CT
12147643,8,CT
12147644,2,T
12147645,14,CT
12147646,7,T
12147647,4,T
12147648,6,T
12147649,5,T
12147650,0,Bonus
12147651,0,Bonus
12147652,0,Bonus
12147653,6,T
12147654,3,T
12147655,5,T
12147656,13,CT
12147657,4,T
12147658,1,T
12147659,11,CT
12147660,8,CT
12147661,6,T
12147662,8,CT
12147663,3,T
12147664,2,T
12147665,10,CT
12147666,2,T
12147667,11,CT
12147668,14,CT
12147669,11,CT
12147670,14,CT
12147671,9,CT
12147672,11,CT
12147673,13,CT
12147674,3,T
12147675,6,T
12147676,10,CT
12147677,1,T
12147678,4,T
12147679,4,T
12147680,1,T
12147681,11,CT
12147682,3,T
12147683,14,CT
12147684,2,T
12147685,7,T
12147686,5,T
12147687,13,CT
12147688,13,CT
12147689,7,T
12147690,13,CT
12147691,10,CT
12147692,5,T
12147693,4,T
12147694,11,CT
12147695,0,Bonus
12147696,9,CT
12147697,5,T
12147698,8,CT
12147699,12,CT
12147700,2,T
12147701,9,CT
12147702,7,T
12147703,11,CT
12147704,2,T
12147705,11,CT
12147706,0,Bonus
12147707,11,CT
12147708,10,CT
12147709,10,CT
12147710,1,T
12147711,2,T
12147712,0,Bonus
12147713,14,CT
12147714,2,T
12147715,2,T
12147716,10,CT
12147717,13,CT
12147718,5,T
12147719,7,T
12147720,10,CT
12147721,9,CT
12147722,7,T
12147723,12,CT
12147724,7,T
12147725,3,T
12147726,8,CT
12147727,11,CT
12147728,7,T
12147729,0,Bonus
12147730,1,T
12147731,6,T
12147732,4,T
12147733,7,T
12147734,10,CT
12147735,13,CT
12147736,5,T
12147737,7,T
12147738,10,CT
12147739,9,CT
12147740,5,T
12147741,6,T
12147742,14,CT
12147743,3,T
12147744,10,CT
12147745,3,T
12147746,2,T
12147747,6,T
12147748,1,T
12147749,14,CT
12147750,8,CT
12147751,3,T
12147752,6,T
12147753,10,CT
12147754,5,T
12147755,6,T
12147756,10,CT
12147757,13,CT
12147758,10,CT
12147759,10,CT
12147760,8,CT
12147761,3,T
12147762,5,T
12147763,14,CT
12147764,9,CT
12147765,8,CT
12147766,12,CT
12147767,6,T
12147768,2,T
12147769,13,CT
12147770,1,T
12147771,0,Bonus
12147772,14,CT
12147773,9,CT
12147774,13,CT
12147775,7,T
12147776,0,Bonus
12147777,14,CT
12147778,3,T
12147779,6,T
12147780,12,CT
12147781,3,T
12147782,7,T
12147783,11,CT
12147784,10,CT
12147785,9,CT
12147786,5,T
12147787,5,T
12147788,7,T
12147789,14,CT
12147790,5,T
12147791,1,T
12147792,12,CT
12147793,8,CT
12147794,6,T
12147795,2,T
12147796,8,CT
12147797,7,T
12147798,7,T
12147799,2,T
12147800,3,T
12147801,0,Bonus
12147802,8,CT
12147803,13,CT
12147804,4,T
12147805,7,T
12147806,3,T
12147807,12,CT
12147808,9,CT
12147809,11,CT
12147810,7,T
12147811,9,CT
12147812,0,Bonus
12147813,8,CT
12147814,9,CT
12147815,9,CT
12147816,8,CT
12147817,10,CT
12147818,12,CT
12147819,6,T
12147820,0,Bonus
12147821,9,CT
12147822,10,CT
12147823,11,CT
12147824,9,CT
12147825,2,T
12147826,5,T
12147827,11,CT
12147828,7,T
12147829,0,Bonus
12147830,9,CT
12147831,12,CT
12147832,1,T
12147833,5,T
12147834,3,T
12147835,8,CT
12147836,12,CT
12147837,5,T
12147838,5,T
12147839,6,T
12147840,5,T
12147841,14,CT
12147842,8,CT
12147843,14,CT
12147844,0,Bonus
12147845,4,T
12147846,5,T
12147847,9,CT
12147848,0,Bonus
12147849,0,Bonus
12147850,10,CT
12147851,0,Bonus
12147852,7,T
12147853,1,T
12147854,12,CT
12147855,12,CT
12147856,3,T
12147857,2,T
12147858,8,CT
12147859,1,T
12147860,3,T
12147861,0,Bonus
12147862,6,T
12147863,0,Bonus
12147864,9,CT
12147865,2,T
12147866,11,CT
12147867,9,CT
12147868,10,CT
12147869,8,CT
12147870,6,T
12147871,1,T
12147872,3,T
12147873,6,T
12147874,1,T
12147875,12,CT
12147876,6,T
12147877,14,CT
12147878,0,Bonus
12147879,2,T
12147880,7,T
12147881,10,CT
12147882,10,CT
12147883,12,CT
12147884,11,CT
12147885,10,CT
12147886,10,CT
12147887,5,T
12147888,12,CT
12147889,5,T
12147890,6,T
12147891,6,T
12147892,4,T
12147893,11,CT
12147894,4,T
12147895,2,T
12147896,10,CT
12147897,4,T
12147898,9,CT
12147899,0,Bonus
12147900,14,CT
12147901,2,T
12147902,0,Bonus
12147903,3,T
12147904,5,T
12147905,9,CT
12147906,14,CT
12147907,0,Bonus
12147908,6,T
12147909,5,T
12147910,7,T
12147911,1,T
12147912,14,CT
12147913,7,T
12147914,3,T
12147915,11,CT
12147916,1,T
12147917,3,T
12147918,0,Bonus
12147919,7,T
12147920,9,CT
12147921,8,CT
12147922,0,Bonus
12147923,5,T
12147924,14,CT
12147925,0,Bonus
12147926,3,T
12147927,6,T
12147928,13,CT
12147929,4,T
12147930,11,CT
12147931,11,CT
12147932,13,CT
12147933,10,CT
12147934,4,T
12147935,0,Bonus
12147936,14,CT
12147937,2,T
12147938,9,CT
12147939,8,CT
12147940,2,T
12147941,7,T
12147942,0,Bonus
12147943,12,CT
12147944,8,CT
12147945,3,T
12147946,8,CT
12147947,7,T
12147948,13,CT
12147949,1,T
12147950,14,CT
12147951,1,T
12147952,13,CT
12147953,14,CT
12147954,13,CT
12147955,14,CT
12147956,6,T
12147957,4,T
12147958,9,CT
12147959,4,T
12147960,1,T
12147961,4,T
12147962,5,T
12147963,2,T
12147964,5,T
12147965,11,CT
12147966,3,T
12147967,5,T
12147968,7,T
12147969,6,T
12147970,2,T
12147971,10,CT
12147972,7,T
12147973,2,T
12147974,6,T
12147975,3,T
12147976,4,T
12147977,3,T
12147978,12,CT
12147979,10,CT
12147980,11,CT
12147981,11,CT
12147982,6,T
12147983,8,CT
12147984,12,CT
12147985,4,T
12147986,5,T
12147987,5,T
12147988,9,CT
12147989,0,Bonus
12147990,3,T
12147991,6,T
12147992,8,CT
12147993,9,CT
12147994,3,T
12147995,14,CT
12147996,10,CT
12147997,5,T
12147998,14,CT
12147999,9,CT
12148000,2,T
12148001,3,T
12148002,2,T
12148003,2,T
12148004,6,T
12148005,13,CT
12148006,11,CT
12148007,0,Bonus
12148008,12,CT
12148009,13,CT
12148010,12,CT
12148011,4,T
12148012,7,T
12148013,1,T
12148014,4,T
12148015,9,CT
12148016,13,CT
12148017,5,T
12148018,14,CT
12148019,7,T
12148020,12,CT
12148021,12,CT
12148022,11,CT
12148023,7,T
12148024,0,Bonus
12148025,10,CT
12148026,10,CT
12148027,7,T
12148028,11,CT
12148029,8,CT
12148030,3,T
12148031,7,T
12148032,11,CT
12148033,14,CT
12148034,9,CT
12148035,13,CT
12148036,3,T
12148037,12,CT
12148038,10,CT
12148039,14,CT
12148040,3,T
12148041,9,CT
12148042,7,T
12148043,14,CT
12148044,1,T
12148045,9,CT
12148046,10,CT
12148047,4,T
12148048,12,CT
12148049,10,CT
12148050,1,T
12148051,0,Bonus
12148052,13,CT
12148053,3,T
12148054,2,T
12148055,12,CT
12148056,7,T
12148057,10,CT
12148058,1,T
12148059,12,CT
12148060,14,CT
12148061,4,T
12148062,2,T
12148063,2,T
12148064,14,CT
12148065,9,CT
12148066,0,Bonus
12148067,14,CT
12148068,9,CT
12148069,12,CT
12148070,7,T
12148071,12,CT
12148072,10,CT
12148073,2,T
12148074,6,T
12148075,12,CT
12148076,8,CT
12148077,6,T
12148078,14,CT
12148079,13,CT
12148080,6,T
12148081,11,CT
12148082,6,T
12148083,6,T
12148084,3,T
12148085,7,T
12148086,1,T
12148087,12,CT
12148088,13,CT
12148089,11,CT
12148090,10,CT
12148091,7,T
12148092,1,T
12148093,6,T
12148094,10,CT
12148095,5,T
12148096,4,T
12148097,2,T
12148098,4,T
12148099,8,CT
12148100,7,T
12148101,8,CT
12148102,1,T
12148103,11,CT
12148104,11,CT
12148105,8,CT
12148106,4,T
12148107,14,CT
12148108,14,CT
12148109,13,CT
12148110,14,CT
12148111,14,CT
12148112,12,CT
12148113,1,T
12148114,14,CT
12148115,8,CT
12148116,7,T
12148117,14,CT
12148118,8,CT
12148119,0,Bonus
12148120,3,T
12148121,12,CT
12148122,2,T
12148123,9,CT
12148124,13,CT
12148125,3,T
12148126,14,CT
12148127,9,CT
12148128,2,T
12148129,7,T
12148130,7,T
12148131,3,T
12148132,14,CT
12148133,13,CT
12148134,3,T
12148135,12,CT
12148136,11,CT
12148137,7,T
12148138,7,T
12148139,1,T
12148140,5,T
12148141,11,CT
12148142,12,CT
12148143,4,T
12148144,10,CT
12148145,8,CT
12148146,5,T
12148147,1,T
12148148,0,Bonus
12148149,13,CT
12148150,2,T
12148151,0,Bonus
12148152,5,T
12148153,13,CT
12148154,2,T
12148155,5,T
12148156,9,CT
12148157,1,T
12148158,4,T
12148159,8,CT
12148160,9,CT
12148161,1,T
12148162,14,CT
12148163,6,T
12148164,12,CT
12148165,2,T
12148166,8,CT
12148167,14,CT
12148168,2,T
12148169,9,CT
12148170,1,T
12148171,10,CT
12148172,3,T
12148173,0,Bonus
12148174,8,CT
12148175,6,T
12148176,13,CT
12148177,6,T
12148178,10,CT
12148179,2,T
12148180,5,T
12148181,4,T
12148182,1,T
12148183,10,CT
12148184,4,T
12148185,12,CT
12148186,13,CT
12148187,9,CT
12148188,12,CT
12148189,11,CT
12148190,4,T
12148191,8,CT
12148192,5,T
12148193,5,T
12148194,13,CT
12148195,6,T
12148196,4,T
12148197,13,CT
12148198,5,T
12148199,7,T
12148200,9,CT
12148201,12,CT
12148202,10,CT
12148203,12,CT
12148204,0,Bonus
12148205,3,T
12148206,10,CT
12148207,9,CT
12148208,14,CT
12148209,9,CT
12148210,5,T
12148211,3,T
12148212,5,T
12148213,3,T
12148214,8,CT
12148215,0,Bonus
12148216,0,Bonus
12148217,2,T
12148218,5,T
12148219,11,CT
12148220,12,CT
12148221,8,CT
12148222,3,T
12148223,7,T
12148224,1,T
12148225,13,CT
12148226,11,CT
12148227,9,CT
12148228,0,Bonus
12148229,10,CT
12148230,2,T
12148231,9,CT
12148232,1,T
12148233,2,T
12148234,7,T
12148235,14,CT
12148236,4,T
12148237,1,T
12148238,13,CT
12148239,4,T
12148240,1,T
12148241,0,Bonus
12148242,5,T
12148243,2,T
12148244,7,T
12148245,14,CT
12148246,10,CT
12148247,11,CT
12148248,0,Bonus
12148249,11,CT
12148250,6,T
12148251,6,T
12148252,4,T
12148253,2,T
12148254,9,CT
12148255,3,T
12148256,5,T
12148257,14,CT
12148258,6,T
12148259,2,T
12148260,3,T
12148261,14,CT
12148262,7,T
12148263,12,CT
12148264,9,CT
12148265,8,CT
12148266,7,T
12148267,4,T
12148268,5,T
12148269,5,T
12148270,8,CT
12148271,6,T
12148272,11,CT
12148273,9,CT
12148274,2,T
12148275,12,CT
12148276,14,CT
12148277,8,CT
12148278,5,T
12148279,5,T
12148280,0,Bonus
12148281,9,CT
12148282,8,CT
12148283,13,CT
12148284,6,T
12148285,6,T
12148286,4,T
12148287,6,T
12148288,8,CT
12148289,11,CT
12148290,7,T
12148291,5,T
12148292,9,CT
12148293,11,CT
12148294,4,T
12148295,14,CT
12148296,11,CT
12148297,6,T
12148298,3,T
12148299,7,T
12148300,10,CT
12148301,8,CT
12148302,0,Bonus
12148303,3,T
12148304,9,CT
12148305,13,CT
12148306,8,CT
12148307,12,CT
12148308,7,T
12148309,5,T
12148310,5,T
12148311,1,T
12148312,12,CT
12148313,14,CT
12148314,4,T
12148315,3,T
12148316,1,T
12148317,3,T
12148318,0,Bonus
12148319,12,CT
12148320,4,T
12148321,6,T
12148322,5,T
12148323,11,CT
12148324,1,T
12148325,14,CT
12148326,6,T
12148327,5,T
12148328,12,CT
12148329,13,CT
12148330,13,CT
12148331,7,T
12148332,4,T
12148333,12,CT
12148334,7,T
12148335,1,T
12148336,12,CT
12148337,6,T
12148338,14,CT
12148339,5,T
12148340,7,T
12148341,11,CT
12148342,12,CT
12148343,9,CT
12148344,4,T
12148345,6,T
12148346,3,T
12148347,12,CT
12148348,7,T
12148349,8,CT
12148350,9,CT
12148351,3,T
12148352,1,T
12148353,8,CT
12148354,3,T
12148355,7,T
12148356,3,T
12148357,3,T
12148358,14,CT
12148359,11,CT
12148360,4,T
12148361,10,CT
12148362,9,CT
12148363,12,CT
12148364,13,CT
12148365,12,CT
12148366,8,CT
12148367,6,T
12148368,7,T
12148369,13,CT
12148370,6,T
12148371,10,CT
12148372,3,T
12148373,13,CT
12148374,10,CT
12148375,0,Bonus
12148376,8,CT
12148377,5,T
12148378,8,CT
12148379,5,T
12148380,9,CT
12148381,4,T
12148382,12,CT
12148383,4,T
12148384,13,CT
12148385,2,T
12148386,4,T
12148387,7,T
12148388,6,T
12148389,9,CT
12148390,5,T
12148391,7,T
12148392,7,T
12148393,6,T
12148394,10,CT
12148395,2,T
12148396,6,T
12148397,8,CT
12148398,7,T
12148399,7,T
12148400,5,T
12148401,5,T
12148402,13,CT
12148403,4,T
