session_id,outcome,color
12108167,8,CT
12108168,2,T
12108169,14,CT
12108170,10,CT
12108171,12,CT
12108172,3,T
12108173,3,T
12108174,1,T
12108175,8,CT
12108176,0,Bonus
12108177,10,CT
12108178,3,T
12108179,7,T
12108180,10,CT
12108181,10,CT
12108182,12,CT
12108183,2,T
12108184,0,Bonus
12108185,1,T
12108186,6,T
12108187,12,CT
12108188,5,T
12108189,11,CT
12108190,14,CT
12108191,14,CT
12108192,14,CT
12108193,5,T
12108194,12,CT
12108195,2,T
12108196,1,T
12108197,6,T
12108198,1,T
12108199,10,CT
12108200,6,T
12108201,2,T
12108202,9,CT
12108203,10,CT
12108204,3,T
12108205,10,CT
12108206,2,T
12108207,2,T
12108208,0,Bonus
12108209,6,T
12108210,14,CT
12108211,6,T
12108212,11,CT
12108213,9,CT
12108214,0,Bonus
12108215,12,CT
12108216,10,CT
12108217,8,CT
12108218,4,T
12108219,1,T
12108220,14,CT
12108221,13,CT
12108222,10,CT
12108223,6,T
12108224,6,T
12108225,6,T
12108226,11,CT
12108227,12,CT
12108228,9,CT
12108229,4,T
12108230,13,CT
12108231,13,CT
12108232,9,CT
12108233,8,CT
12108234,0,Bonus
12108235,8,CT
12108236,7,T
12108237,7,T
12108238,13,CT
12108239,13,CT
12108240,1,T
12108241,2,T
12108242,10,CT
12108243,4,T
12108244,9,CT
12108245,0,Bonus
12108246,10,CT
12108247,6,T
12108248,12,CT
12108249,9,CT
12108250,2,T
12108251,5,T
12108252,5,T
12108253,1,T
12108254,11,CT
12108255,6,T
12108256,7,T
12108257,2,T
12108258,7,T
12108259,3,T
12108260,3,T
12108261,13,CT
12108262,13,CT
12108263,6,T
12108264,8,CT
12108265,2,T
12108266,7,T
12108267,0,Bonus
12108268,2,T
12108269,3,T
12108270,11,CT
12108271,9,CT
12108272,11,CT
12108273,11,CT
12108274,14,CT
12108275,1,T
12108276,3,T
12108277,7,T
12108278,0,Bonus
12108279,5,T
12108280,9,CT
12108281,3,T
12108282,2,T
12108283,13,CT
12108284,12,CT
12108285,4,T
12108286,5,T
12108287,4,T
12108288,12,CT
12108289,9,CT
12108290,5,T
12108291,7,T
12108292,10,CT
12108293,1,T
12108294,1,T
12108295,3,T
12108296,0,Bonus
12108297,3,T
12108298,5,T
12108299,7,T
12108300,4,T
12108301,13,CT
12108302,4,T
12108303,10,CT
12108304,8,CT
12108305,9,CT
12108306,1,T
12108307,6,T
12108308,3,T
12108309,9,CT
12108310,5,T
12108311,11,CT
12108312,4,T
12108313,9,CT
12108314,8,CT
12108315,6,T
12108316,6,T
12108317,5,T
12108318,7,T
12108319,2,T
12108320,10,CT
12108321,14,CT
12108322,12,CT
12108323,12,CT
12108324,2,T
12108325,5,T
12108326,2,T
12108327,1,T
12108328,3,T
12108329,0,Bonus
12108330,9,CT
12108331,8,CT
12108332,6,T
12108333,2,T
12108334,6,T
12108335,5,T
12108336,0,Bonus
12108337,4,T
12108338,0,Bonus
12108339,11,CT
12108340,6,T
12108341,12,CT
12108342,6,T
12108343,4,T
12108344,6,T
12108345,7,T
12108346,10,CT
12108347,4,T
12108348,4,T
12108349,5,T
12108350,13,CT
12108351,0,Bonus
12108352,9,CT
12108353,12,CT
12108354,7,T
12108355,7,T
12108356,13,CT
12108357,3,T
12108358,2,T
12108359,6,T
12108360,8,CT
12108361,7,T
12108362,4,T
12108363,4,T
12108364,10,CT
12108365,2,T
12108366,7,T
12108367,4,T
12108368,3,T
12108369,10,CT
12108370,11,CT
12108371,8,CT
12108372,7,T
12108373,2,T
12108374,9,CT
12108375,14,CT
12108376,12,CT
12108377,6,T
12108378,3,T
12108379,6,T
12108380,5,T
12108381,9,CT
12108382,8,CT
12108383,14,CT
12108384,8,CT
12108385,5,T
12108386,12,CT
12108387,14,CT
12108388,12,CT
12108389,8,CT
12108390,2,T
12108391,11,CT
12108392,9,CT
12108393,9,CT
12108394,11,CT
12108395,3,T
12108396,13,CT
12108397,1,T
12108398,0,Bonus
12108399,0,Bonus
12108400,12,CT
12108401,10,CT
12108402,9,CT
12108403,5,T
12108404,14,CT
12108405,11,CT
12108406,1,T
12108407,11,CT
12108408,9,CT
12108409,9,CT
12108410,2,T
12108411,7,T
12108412,1,T
12108413,2,T
12108414,6,T
12108415,14,CT
12108416,8,CT
12108417,14,CT
12108418,0,Bonus
12108419,12,CT
12108420,6,T
12108421,12,CT
12108422,10,CT
12108423,11,CT
12108424,10,CT
12108425,12,CT
12108426,6,T
12108427,2,T
12108428,11,CT
12108429,4,T
12108430,8,CT
12108431,9,CT
12108432,5,T
12108433,12,CT
12108434,1,T
12108435,7,T
12108436,0,Bonus
12108437,0,Bonus
12108438,6,T
12108439,1,T
12108440,10,CT
12108441,2,T
12108442,13,CT
12108443,4,T
12108444,13,CT
12108445,3,T
12108446,7,T
12108447,13,CT
12108448,7,T
12108449,9,CT
