session_id,outcome,color
12111752,8,CT
12111753,2,T
12111754,6,T
12111755,1,T
12111756,7,T
12111757,14,CT
12111758,6,T
12111759,4,T
12111760,11,CT
12111761,2,T
12111762,12,CT
12111763,1,T
12111764,11,CT
12111765,12,CT
12111766,0,Bonus
12111767,7,T
12111768,12,CT
12111769,12,CT
12111770,3,T
12111771,4,T
12111772,8,CT
12111773,5,T
12111774,9,CT
12111775,8,CT
12111776,4,T
12111777,4,T
12111778,8,CT
12111779,8,CT
12111780,13,CT
12111781,0,Bonus
12111782,9,CT
12111783,6,T
12111784,1,T
12111785,9,CT
12111786,13,CT
12111787,14,CT
12111788,0,Bonus
12111789,13,CT
12111790,10,CT
12111791,13,CT
12111792,13,CT
12111793,3,T
12111794,10,CT
12111795,4,T
12111796,6,T
12111797,4,T
12111798,8,CT
12111799,14,CT
12111800,7,T
12111801,6,T
12111802,12,CT
12111803,2,T
12111804,10,CT
12111805,6,T
12111806,10,CT
12111807,9,CT
12111808,1,T
12111809,0,Bonus
12111810,8,CT
12111811,6,T
12111812,6,T
12111813,5,T
12111814,14,CT
12111815,1,T
12111816,9,CT
12111817,7,T
12111818,11,CT
12111819,7,T
12111820,4,T
12111821,8,CT
12111822,8,CT
12111823,10,CT
12111824,5,T
12111825,0,Bonus
12111826,1,T
12111827,3,T
12111828,3,T
12111829,4,T
12111830,3,T
12111831,1,T
12111832,12,CT
12111833,6,T
12111834,5,T
12111835,8,CT
12111836,7,T
12111837,13,CT
12111838,2,T
12111839,14,CT
12111840,1,T
12111841,9,CT
12111842,8,CT
12111843,8,CT
12111844,5,T
12111845,2,T
12111846,3,T
12111847,7,T
12111848,10,CT
12111849,5,T
12111850,12,CT
12111851,5,T
12111852,2,T
12111853,5,T
12111854,5,T
12111855,3,T
12111856,0,Bonus
12111857,11,CT
12111858,0,Bonus
12111859,10,CT
12111860,2,T
12111861,6,T
12111862,8,CT
12111863,6,T
12111864,2,T
12111865,5,T
12111866,1,T
12111867,14,CT
12111868,9,CT
12111869,13,CT
12111870,0,Bonus
12111871,0,Bonus
12111872,13,CT
12111873,14,CT
12111874,7,T
12111875,9,CT
12111876,3,T
12111877,14,CT
12111878,8,CT
12111879,12,CT
12111880,13,CT
12111881,3,T
12111882,13,CT
12111883,5,T
12111884,6,T
12111885,13,CT
12111886,5,T
12111887,10,CT
12111888,5,T
12111889,11,CT
12111890,11,CT
12111891,0,Bonus
12111892,8,CT
12111893,6,T
12111894,8,CT
12111895,9,CT
12111896,10,CT
12111897,2,T
12111898,12,CT
12111899,1,T
12111900,5,T
12111901,12,CT
12111902,3,T
12111903,9,CT
12111904,6,T
12111905,3,T
12111906,12,CT
12111907,13,CT
12111908,12,CT
12111909,1,T
12111910,13,CT
12111911,5,T
12111912,3,T
12111913,9,CT
12111914,6,T
12111915,0,Bonus
12111916,2,T
12111917,9,CT
12111918,2,T
12111919,14,CT
12111920,13,CT
12111921,3,T
12111922,12,CT
12111923,12,CT
12111924,11,CT
12111925,1,T
12111926,9,CT
12111927,3,T
12111928,6,T
12111929,10,CT
12111930,3,T
12111931,2,T
12111932,4,T
12111933,7,T
12111934,7,T
12111935,10,CT
12111936,13,CT
12111937,2,T
12111938,2,T
12111939,7,T
12111940,2,T
12111941,9,CT
12111942,3,T
12111943,13,CT
12111944,1,T
12111945,4,T
12111946,8,CT
12111947,0,Bonus
12111948,11,CT
12111949,1,T
12111950,6,T
12111951,2,T
12111952,6,T
12111953,1,T
12111954,9,CT
12111955,4,T
