session_id,outcome,color
12093825,9,CT
12093826,10,CT
12093827,8,CT
12093828,9,CT
12093829,6,T
12093830,5,T
12093831,8,CT
12093832,6,T
12093833,1,T
12093834,12,CT
12093835,12,CT
12093836,7,T
12093837,10,CT
12093838,8,CT
12093839,10,CT
12093840,11,CT
12093841,3,T
12093842,1,T
12093843,13,CT
12093844,12,CT
12093845,4,T
12093846,2,T
12093847,13,CT
12093848,2,T
12093849,3,T
12093850,12,CT
12093851,4,T
12093852,9,CT
12093853,11,CT
12093854,3,T
12093855,2,T
12093856,1,T
12093857,8,CT
12093858,11,CT
12093859,1,T
12093860,5,T
12093861,8,CT
12093862,9,CT
12093863,4,T
12093864,12,CT
12093865,8,CT
12093866,2,T
12093867,13,CT
12093868,5,T
12093869,7,T
12093870,4,T
12093871,10,CT
12093872,6,T
12093873,8,CT
12093874,9,CT
12093875,6,T
12093876,8,CT
12093877,7,T
12093878,10,CT
12093879,8,CT
12093880,13,CT
12093881,5,T
12093882,7,T
12093883,3,T
12093884,7,T
12093885,10,CT
12093886,11,CT
12093887,2,T
12093888,12,CT
12093889,5,T
12093890,2,T
12093891,0,Bonus
12093892,8,CT
12093893,14,CT
12093894,7,T
12093895,7,T
12093896,10,CT
12093897,12,CT
12093898,3,T
12093899,2,T
12093900,10,CT
12093901,13,CT
12093902,9,CT
12093903,7,T
12093904,10,CT
12093905,6,T
12093906,4,T
12093907,9,CT
12093908,4,T
12093909,6,T
12093910,5,T
12093911,5,T
12093912,10,CT
12093913,0,Bonus
12093914,11,CT
12093915,13,CT
12093916,0,Bonus
12093917,10,CT
12093918,10,CT
12093919,13,CT
12093920,10,CT
12093921,12,CT
12093922,3,T
12093923,6,T
12093924,9,CT
12093925,6,T
12093926,6,T
12093927,9,CT
12093928,11,CT
12093929,0,Bonus
12093930,14,CT
12093931,14,CT
12093932,1,T
12093933,4,T
12093934,6,T
12093935,10,CT
12093936,3,T
12093937,1,T
12093938,11,CT
12093939,11,CT
12093940,11,CT
12093941,4,T
12093942,0,Bonus
12093943,7,T
12093944,12,CT
12093945,9,CT
12093946,1,T
12093947,9,CT
12093948,6,T
12093949,10,CT
12093950,9,CT
12093951,10,CT
12093952,1,T
12093953,0,Bonus
12093954,7,T
12093955,11,CT
12093956,11,CT
12093957,11,CT
12093958,14,CT
12093959,9,CT
12093960,11,CT
12093961,6,T
12093962,8,CT
12093963,9,CT
12093964,1,T
12093965,9,CT
12093966,14,CT
12093967,13,CT
12093968,5,T
12093969,2,T
12093970,2,T
12093971,6,T
