session_id,outcome,color
12118921,5,T
12118922,11,CT
12118923,13,CT
12118924,1,T
12118925,9,CT
12118926,14,CT
12118927,1,T
12118928,13,CT
12118929,4,T
12118930,10,CT
12118931,14,CT
12118932,1,T
12118933,3,T
12118934,8,CT
12118935,3,T
12118936,6,T
12118937,14,CT
12118938,6,T
12118939,1,T
12118940,2,T
12118941,9,CT
12118942,8,CT
12118943,7,T
12118944,2,T
12118945,2,T
12118946,7,T
12118947,10,CT
12118948,6,T
12118949,6,T
12118950,1,T
12118951,5,T
12118952,6,T
12118953,12,CT
12118954,8,CT
12118955,0,Bonus
12118956,9,CT
12118957,5,T
12118958,2,T
12118959,1,T
12118960,3,T
12118961,13,CT
12118962,3,T
12118963,8,CT
12118964,2,T
12118965,0,Bonus
12118966,10,CT
12118967,13,CT
12118968,6,T
12118969,2,T
12118970,0,Bonus
12118971,12,CT
12118972,14,CT
12118973,5,T
12118974,7,T
12118975,4,T
12118976,1,T
12118977,2,T
12118978,0,Bonus
12118979,13,CT
12118980,13,CT
12118981,12,CT
12118982,7,T
12118983,9,CT
12118984,12,CT
12118985,12,CT
12118986,14,CT
12118987,14,CT
12118988,2,T
12118989,8,CT
12118990,11,CT
12118991,12,CT
12118992,11,CT
12118993,14,CT
12118994,9,CT
12118995,11,CT
12118996,10,CT
12118997,13,CT
12118998,11,CT
12118999,13,CT
12119000,12,CT
12119001,14,CT
12119002,6,T
12119003,8,CT
12119004,6,T
12119005,0,Bonus
12119006,0,Bonus
12119007,5,T
12119008,11,CT
12119009,10,CT
12119010,14,CT
12119011,1,T
12119012,3,T
12119013,5,T
12119014,12,CT
12119015,2,T
12119016,14,CT
12119017,11,CT
12119018,6,T
12119019,7,T
12119020,12,CT
12119021,13,CT
12119022,14,CT
12119023,4,T
12119024,9,CT
12119025,4,T
12119026,2,T
12119027,2,T
12119028,12,CT
12119029,3,T
12119030,12,CT
12119031,9,CT
12119032,0,Bonus
12119033,6,T
12119034,8,CT
12119035,4,T
12119036,10,CT
12119037,5,T
12119038,3,T
12119039,5,T
12119040,0,Bonus
12119041,3,T
12119042,12,CT
12119043,10,CT
12119044,14,CT
12119045,13,CT
12119046,1,T
12119047,3,T
12119048,8,CT
12119049,10,CT
12119050,0,Bonus
12119051,14,CT
12119052,13,CT
12119053,7,T
12119054,6,T
12119055,0,Bonus
12119056,9,CT
12119057,12,CT
12119058,9,CT
12119059,13,CT
12119060,11,CT
12119061,7,T
12119062,12,CT
12119063,5,T
12119064,13,CT
12119065,0,Bonus
12119066,9,CT
12119067,4,T
12119068,7,T
12119069,5,T
12119070,12,CT
12119071,2,T
12119072,5,T
12119073,4,T
12119074,10,CT
12119075,13,CT
12119076,9,CT
12119077,9,CT
12119078,1,T
12119079,0,Bonus
12119080,1,T
12119081,5,T
12119082,9,CT
12119083,8,CT
12119084,13,CT
12119085,5,T
12119086,8,CT
12119087,4,T
12119088,9,CT
12119089,7,T
12119090,7,T
12119091,13,CT
12119092,4,T
12119093,5,T
12119094,2,T
12119095,4,T
12119096,0,Bonus
12119097,12,CT
12119098,9,CT
12119099,14,CT
12119100,14,CT
12119101,0,Bonus
12119102,13,CT
12119103,14,CT
12119104,12,CT
12119105,5,T
12119106,14,CT
12119107,10,CT
12119108,3,T
12119109,4,T
12119110,6,T
12119111,3,T
12119112,7,T
12119113,5,T
12119114,9,CT
12119115,0,Bonus
12119116,8,CT
12119117,11,CT
12119118,7,T
12119119,8,CT
12119120,1,T
12119121,13,CT
12119122,13,CT
12119123,0,Bonus
12119124,10,CT
12119125,4,T
12119126,7,T
12119127,12,CT
12119128,4,T
12119129,9,CT
12119130,4,T
12119131,4,T
12119132,3,T
12119133,3,T
12119134,7,T
12119135,6,T
12119136,14,CT
12119137,11,CT
12119138,2,T
12119139,12,CT
12119140,2,T
12119141,7,T
12119142,13,CT
12119143,12,CT
12119144,5,T
12119145,9,CT
12119146,14,CT
12119147,1,T
12119148,6,T
12119149,4,T
12119150,11,CT
12119151,2,T
12119152,2,T
12119153,11,CT
12119154,1,T
12119155,13,CT
12119156,6,T
12119157,7,T
12119158,12,CT
12119159,1,T
12119160,5,T
12119161,13,CT
12119162,9,CT
12119163,9,CT
12119164,13,CT
12119165,5,T
12119166,12,CT
12119167,13,CT
12119168,8,CT
12119169,8,CT
12119170,3,T
12119171,7,T
12119172,8,CT
12119173,3,T
12119174,1,T
12119175,9,CT
12119176,5,T
12119177,7,T
12119178,1,T
12119179,12,CT
12119180,5,T
12119181,3,T
12119182,5,T
12119183,0,Bonus
12119184,9,CT
12119185,5,T
12119186,12,CT
12119187,2,T
12119188,11,CT
12119189,7,T
12119190,4,T
12119191,11,CT
12119192,14,CT
12119193,5,T
12119194,5,T
12119195,2,T
12119196,4,T
12119197,7,T
12119198,2,T
12119199,3,T
12119200,7,T
12119201,5,T
12119202,9,CT
12119203,6,T
12119204,3,T
12119205,8,CT
12119206,2,T
12119207,3,T
12119208,12,CT
12119209,14,CT
12119210,7,T
12119211,14,CT
12119212,3,T
12119213,10,CT
12119214,6,T
12119215,6,T
12119216,10,CT
12119217,5,T
12119218,1,T
12119219,1,T
12119220,10,CT
12119221,12,CT
12119222,7,T
12119223,10,CT
12119224,10,CT
12119225,6,T
12119226,12,CT
12119227,2,T
12119228,5,T
12119229,2,T
12119230,13,CT
12119231,3,T
12119232,1,T
12119233,4,T
12119234,7,T
12119235,6,T
12119236,11,CT
12119237,10,CT
12119238,6,T
12119239,10,CT
12119240,12,CT
12119241,4,T
12119242,14,CT
12119243,14,CT
12119244,12,CT
12119245,11,CT
12119246,1,T
12119247,10,CT
12119248,13,CT
12119249,5,T
12119250,7,T
12119251,2,T
12119252,9,CT
12119253,4,T
12119254,7,T
12119255,3,T
12119256,5,T
12119257,14,CT
12119258,4,T
12119259,8,CT
12119260,7,T
12119261,1,T
12119262,14,CT
12119263,0,Bonus
12119264,12,CT
12119265,1,T
12119266,6,T
12119267,14,CT
12119268,6,T
12119269,0,Bonus
12119270,10,CT
12119271,8,CT
12119272,8,CT
12119273,1,T
12119274,6,T
12119275,11,CT
12119276,4,T
12119277,11,CT
12119278,14,CT
12119279,13,CT
12119280,8,CT
12119281,6,T
12119282,14,CT
12119283,14,CT
12119284,9,CT
12119285,1,T
12119286,4,T
12119287,0,Bonus
12119288,9,CT
12119289,13,CT
12119290,9,CT
12119291,10,CT
12119292,13,CT
12119293,13,CT
12119294,4,T
12119295,0,Bonus
12119296,4,T
12119297,9,CT
12119298,3,T
12119299,11,CT
12119300,11,CT
12119301,1,T
12119302,0,Bonus
12119303,0,Bonus
12119304,12,CT
12119305,1,T
12119306,8,CT
12119307,4,T
12119308,11,CT
12119309,12,CT
12119310,11,CT
12119311,12,CT
12119312,9,CT
12119313,4,T
12119314,1,T
12119315,2,T
12119316,6,T
12119317,9,CT
12119318,6,T
12119319,9,CT
12119320,6,T
12119321,7,T
12119322,2,T
12119323,10,CT
12119324,11,CT
12119325,2,T
12119326,6,T
12119327,9,CT
12119328,10,CT
12119329,8,CT
12119330,0,Bonus
12119331,12,CT
12119332,5,T
12119333,6,T
12119334,6,T
12119335,5,T
12119336,13,CT
12119337,7,T
12119338,8,CT
12119339,14,CT
12119340,12,CT
12119341,2,T
12119342,8,CT
12119343,12,CT
12119344,5,T
12119345,12,CT
12119346,5,T
12119347,4,T
12119348,2,T
12119349,1,T
12119350,9,CT
12119351,10,CT
12119352,9,CT
12119353,1,T
12119354,12,CT
12119355,11,CT
12119356,7,T
12119357,11,CT
12119358,7,T
12119359,2,T
12119360,5,T
12119361,7,T
12119362,14,CT
12119363,9,CT
12119364,5,T
12119365,14,CT
12119366,2,T
12119367,4,T
12119368,9,CT
12119369,0,Bonus
12119370,4,T
12119371,7,T
12119372,9,CT
12119373,6,T
12119374,6,T
12119375,3,T
12119376,2,T
12119377,0,Bonus
12119378,8,CT
12119379,4,T
12119380,10,CT
12119381,1,T
12119382,0,Bonus
12119383,8,CT
12119384,8,CT
12119385,7,T
12119386,7,T
12119387,11,CT
12119388,1,T
12119389,7,T
12119390,13,CT
12119391,3,T
12119392,5,T
12119393,10,CT
12119394,6,T
12119395,14,CT
12119396,14,CT
12119397,14,CT
12119398,6,T
12119399,1,T
12119400,6,T
12119401,10,CT
12119402,8,CT
12119403,3,T
12119404,7,T
12119405,0,Bonus
12119406,9,CT
12119407,9,CT
